Name,countyfips,placefips
Mount Crested Butte/G in Gunnison,51,52570
Naturita in Montrose,85,53120
Nederland in Boulder,13,53175
New Castle in Garfield,45,53395
Northglenn (Part) in Adams,1,54330
Northglenn (Part) in Weld,123,54330
Norwood in San Miguel,113,54880
Nucla in Montrose,85,54935
Nunn in Weld,123,55045
Oak Creek in Routt,107,55155
Olathe in Montrose,85,55540
Olney Springs in Crowley,25,55705
Ophir in San Miguel,113,55870
Orchard City in Delta,29,55980
Ordway in Crowley,25,56145
Otis in Washington,121,56365
Ouray in Ouray,91,56420
Ovid in Sedgwick,115,56475
Pagosa Springs in Archuleta,7,56860
Palisade in Mesa,77,56970
Palmer Lake in El Paso,41,57025
Paoli in Phillips,95,57245
Paonia in Delta,29,57300
Parachute in Garfield,45,57400
Parker in Douglas,35,57630
Peetz in Logan,75,58235
Pierce in Weld,123,59005
Pitkin in Gunnison,51,59830
Platteville in Weld,123,60160
Poncha Springs in Chaffee,15,60600
Pritchett in Baca,9,61315
Pueblo in Pueblo,101,62000
Ramah in El Paso,41,62660
Rangely in Rio Blanco,103,62880
Raymer in Weld,123,63045
Red Cliff in Eagle,37,63265
Rico in Dolores,33,64090
Ridgway in Ouray,91,64200
Rifle in Garfield,45,64255
Rockvale in Fremont,43,64970
Rocky Ford in Otero,89,65190
Romeo in Conejos,21,65740
Rye in Pueblo,101,66895
Saguache in Saguache,109,67005
Salida in Chaffee,15,67280
Sanford in Conejos,21,67830
San Luis in Costilla,23,68105
Sawpit in San Miguel,113,68655
Sedgwick in Sedgwick,115,68930
Seibert in Kit Carson,63,69040
Severance in Weld,123,69150
Sheridan in Arapahoe,5,69645
Sheridan Lake in Kiowa,61,69700
Silt in Garfield,45,70195
Silver Cliff in Custer,27,70250
Silver Plume in Clear Creek,19,70360
Silverthorne in Summit,117,70525
Silverton in San Juan,111,70580
Simla in Elbert,39,70635
Snowmass Village in Pitkin,97,71755
South Fork in Rio Grande,105,72395
Springfield in Baca,9,73330
Starkville in Las Animas,71,73715
Steamboat Springs in Routt,107,73825
Sterling in Logan,75,73935
Stratton in Kit Carson,63,74485
Sugar City in Crowley,25,74815
Superior (Part) in Jefferson,59,75640
Superior (Part) in Boulder,13,75640
Swink in Otero,89,75970
Telluride in San Miguel,113,76795
Thornton (Part) in Weld,123,77290
Thornton (Part) in Adams,1,77290
Timnath in Larimer,69,77510
Trinidad in Las Animas,71,78610
Two Buttes in Baca,9,79270
Vail in Eagle,37,80040
Victor in Teller,119,80865
Vilas in Baca,9,81030
Vona in Kit Carson,63,81690
Walden in Jackson,57,82130
Walsenburg in Huerfano,55,82350
Walsh in Baca,9,82460
Ward in Boulder,13,82735
Wellington in Larimer,69,83230
Westcliffe in Custer,27,83450
Westminster (Part) in Jefferson,59,83835
Westminster (Part) in Adams,1,83835
