"CountyFIPS","PlaceFIPS","Tp10","Gqp10","Hp10","Pph10","Thu10","Ohu10","Vhu10","Vr10","Tp11","Gqp11","Hp11","Pph11","Thu11","Ohu11","Vhu11","Vr11","Tp12","Gqp12","Hp12","Pph12","Thu12","Ohu12","Vhu12","Vr12","Tp13","Gqp13","Hp13","Pph13","Thu13","Ohu13","Vhu13","Vr13","Tp14","Gqp14","Hp14","Pph14","Thu14","Ohu14","Vhu14","Vr14","Tp15","Gqp15","Hp15","Pph15","Thu15","Ohu15","Vhu15","Vr15","Tp16","Gqp16","Hp16","Pph16","Thu16","Ohu16","Vhu16","Vr16","Tp17","Gqp17","Hp17","Pph17","Thu17","Ohu17","Vhu17","Vr17","Tp18","Gqp18","Hp18","Pph18","Thu18","Ohu18","Vhu18","Vr18","Tp19","Gqp19","Hp19","Pph19","Thu19","Ohu19","Vhu19","Vr19"
"115","39965",1218,35,1183,2.08,730,567,163,22.32,1218,35,1183,2.08,730,567,163,22.32,1220,35,1185,2.08,730,568,162,22.19,1204,35,1169,2.08,730,560,170,23.28,1197,35,1162,2.08,731,557,174,23.80,1219,35,1184,2.08,731,567,164,22.43,,35,,,,,,,,35,,,,,,,,35,,,,,,,,35,,,,,,
"115","99990",686,0,686,2.24,399,305,94,23.55,686,0,686,2.24,399,305,94,23.55,687,0,687,2.24,399,306,93,23.30,682,0,682,2.25,401,303,98,24.43,680,0,680,2.24,403,303,100,24.81,694,0,694,2.24,404,309,95,23.51,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"117","00000",28073,273,27800,2.35,29861,11787,18074,60.52,27944,273,27671,2.35,30024,11733,18291,60.92,28232,273,27959,2.35,30142,11855,18287,60.66,28788,273,28515,2.35,30274,12092,18182,60.05,29451,273,29178,2.35,30417,12365,18052,59.34,30299,273,30026,2.35,30589,12725,17864,58.40,,273,,,,,,,,273,,,,,,,,273,,,,,,,,273,,,,,,
"117","70525",3904,2,3902,2.67,2066,1457,609,29.47,3892,2,3890,2.67,2079,1453,626,30.11,3951,2,3949,2.67,2097,1475,622,29.66,4031,2,4029,2.67,2105,1505,600,28.50,4241,2,4239,2.67,2180,1583,597,27.38,4394,2,4392,2.67,2208,1640,568,25.72,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,
"117","08400",4552,103,4449,2.28,6915,1951,4964,71.78,4574,103,4471,2.27,7015,1961,5054,72.04,4635,103,4532,2.27,7067,1988,5079,71.86,4788,103,4685,2.27,7187,2055,5132,71.40,4874,103,4771,2.28,7204,2092,5112,70.96,5027,103,4924,2.27,7267,2160,5107,70.27,,103,,,,,,,,103,,,,,,,,103,,,,,,,,103,,,,,,
"117","20440",906,0,906,1.98,1290,456,834,64.65,898,0,898,1.98,1291,452,839,64.98,904,0,904,1.98,1291,455,836,64.75,919,0,919,1.98,1291,463,828,64.13,934,0,934,1.98,1291,470,821,63.59,955,0,955,1.98,1292,481,811,62.77,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"117","28690",2694,0,2694,2.06,3123,1303,1820,58.27,2679,0,2679,2.06,3136,1296,1840,58.67,2720,0,2720,2.06,3163,1316,1847,58.39,2768,0,2768,2.06,3167,1339,1828,57.72,2829,0,2829,2.06,3185,1369,1816,57.01,2927,0,2927,2.06,3222,1416,1806,56.05,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"117","51690",65,0,65,2.60,55,25,30,54.54,65,0,65,2.60,55,25,30,54.54,66,0,66,2.64,56,25,31,55.35,67,0,67,2.57,56,26,30,53.57,68,0,68,2.61,56,26,30,53.57,71,0,71,2.62,57,27,30,52.63,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"117","07410",853,0,853,2.52,728,338,390,53.57,845,0,845,2.52,728,334,394,54.12,850,0,850,2.52,728,336,392,53.84,864,0,864,2.52,728,342,386,53.02,885,0,885,2.52,734,350,384,52.31,911,0,911,2.52,738,361,377,51.08,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"117","99990",15099,168,14931,2.38,15684,6257,9427,60.10,14991,168,14823,2.38,15720,6212,9508,60.48,15106,168,14938,2.38,15740,6260,9480,60.22,15351,168,15183,2.38,15740,6362,9378,59.58,15620,168,15452,2.38,15767,6475,9292,58.93,16014,168,15846,2.38,15805,6640,9165,57.98,,168,,,,,,,,168,,,,,,,,168,,,,,,,,168,,,,,,
"119","00000",23441,132,23309,2.36,12651,9844,2807,22.18,23296,132,23164,2.36,12669,9782,2887,22.78,23348,132,23216,2.36,12724,9805,2919,22.94,23261,132,23129,2.36,12789,9768,3021,23.62,23398,132,23266,2.37,12947,9803,3144,24.28,23461,132,23329,2.37,13009,9829,3180,24.44,,132,,,,,,,,132,,,,,,,,132,,,,,,,,132,,,,,,
"119","80865",398,0,398,1.86,337,213,124,36.79,396,0,396,1.87,338,211,127,37.57,399,0,399,1.87,340,213,127,37.35,396,0,396,1.87,341,211,130,38.12,376,0,376,1.88,342,200,142,41.52,379,0,379,1.87,342,202,140,40.93,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"119","86090",7229,0,7229,2.46,3196,2931,265,8.29,7174,0,7174,2.46,3196,2908,288,9.01,7175,0,7175,2.46,3203,2909,294,9.17,7135,0,7135,2.46,3213,2893,320,9.95,7449,0,7449,2.46,3320,3016,304,9.15,7499,0,7499,2.47,3320,3036,284,8.55,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"119","18530",1193,0,1193,2.15,727,554,173,23.79,1186,0,1186,2.15,728,551,177,24.31,1185,0,1185,2.15,729,550,179,24.55,1174,0,1174,2.15,729,545,184,25.24,1021,0,1021,2.15,729,474,255,34.97,1028,0,1028,2.15,729,477,252,34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"119","32650",28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,28,0,28,1.86,33,15,18,54.54,24,0,24,1.84,33,13,20,60.60,24,0,24,1.84,33,13,20,60.60,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"119","99990",14593,132,14461,2.35,8358,6131,2227,26.64,14512,132,14380,2.35,8374,6097,2277,27.19,14561,132,14429,2.35,8419,6118,2301,27.33,14528,132,14396,2.35,8473,6104,2369,27.95,14528,132,14396,2.36,8523,6100,2423,28.42,14531,132,14399,2.36,8585,6101,2484,28.93,,132,,,,,,,,132,,,,,,,,132,,,,,,,,132,,,,,,
"121","00000",4815,184,4631,2.33,2436,1980,456,18.71,4788,184,4604,2.33,2441,1969,472,19.33,4718,184,4534,2.33,2442,1939,503,20.59,4764,184,4580,2.33,2443,1958,485,19.85,4767,184,4583,2.33,2445,1960,485,19.83,4839,184,4655,2.33,2450,1991,459,18.73,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"121","00925",1703,184,1519,2.14,843,707,136,16.13,1693,184,1509,2.14,844,703,141,16.70,1671,184,1487,2.14,845,693,152,17.98,1685,184,1501,2.14,845,699,146,17.27,1685,184,1501,2.14,845,699,146,17.27,1709,184,1525,2.14,847,710,137,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","56365",475,0,475,2.35,248,202,46,18.54,471,0,471,2.35,248,200,48,19.35,464,0,464,2.35,248,197,51,20.56,468,0,468,2.35,248,199,49,19.75,468,0,468,2.35,248,199,49,19.75,474,0,474,2.34,248,202,46,18.54,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"121","99990",2637,0,2637,2.46,1345,1071,274,20.37,2624,0,2624,2.46,1349,1066,283,20.97,2583,0,2583,2.46,1349,1049,300,22.23,2611,0,2611,2.46,1350,1060,290,21.48,2614,0,2614,2.46,1352,1062,290,21.44,2656,0,2656,2.46,1355,1079,276,20.36,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","00000",254230,5895,248335,2.76,96454,89849,6605,6.84,258629,5872,252757,2.76,97250,91441,5809,5.97,264052,5847,258205,2.76,98169,93379,4790,4.87,270175,5847,264328,2.76,99379,95557,3822,3.84,276089,4761,271328,2.76,100840,98063,2777,2.75,284876,5031,279845,2.76,103362,101095,2267,2.19,,16,,,,,,,,16,,,,,,,,16,,,,,,,,16,,,,,,
"123","59005",837,0,837,2.67,337,313,24,7.12,845,0,845,2.67,337,316,21,6.23,855,0,855,2.67,337,320,17,5.04,864,0,864,2.67,337,323,14,4.15,874,0,874,2.67,337,327,10,2.96,878,0,878,2.67,337,328,9,2.67,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","60160",2499,0,2499,2.87,939,868,71,7.56,2523,0,2523,2.88,939,876,63,6.70,2558,0,2558,2.88,941,888,53,5.63,2585,0,2585,2.87,941,898,43,4.56,2616,0,2616,2.88,942,908,34,3.60,2656,0,2656,2.88,951,922,29,3.04,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","63045",96,0,96,2.59,55,37,18,32.72,97,0,97,2.62,55,37,18,32.72,98,0,98,2.57,55,38,17,30.90,99,0,99,2.60,55,38,17,30.90,101,0,101,2.58,55,39,16,29.09,101,0,101,2.58,55,39,16,29.09,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","69150",3204,0,3204,2.86,1171,1119,52,4.44,3279,0,3279,2.86,1187,1145,42,3.53,3347,0,3347,2.86,1198,1169,29,2.42,3417,0,3417,2.86,1210,1193,17,1.40,3550,0,3550,2.86,1243,1239,4,0.32,3744,0,3744,2.87,1304,1304,0,0.00,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","77290",,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","08675",347,0,347,3.09,118,112,6,5.08,354,0,354,3.07,119,115,4,3.36,358,0,358,3.08,119,116,3,2.52,365,0,365,3.09,120,118,2,1.66,375,0,375,3.09,122,121,1,0.81,380,0,380,3.08,123,123,0,0.00,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
