CountyFIPS,PlaceFIPS,Tp10,Gqp10,Hp10,Pph10,Thu10,Ohu10,Vhu10,Vr10,Tp11,Gqp11,Hp11,Pph11,Thu11,Ohu11,Vhu11,Vr11,Tp12,Gqp12,Hp12,Pph12,Thu12,Ohu12,Vhu12,Vr12,Tp13,Gqp13,Hp13,Pph13,Thu13,Ohu13,Vhu13,Vr13,Tp14,Gqp14,Hp14,Pph14,Thu14,Ohu14,Vhu14,Vr14,Tp15,Gqp15,Hp15,Pph15,Thu15,Ohu15,Vhu15,Vr15,Tp16,Gqp16,Hp16,Pph16,Thu16,Ohu16,Vhu16,Vr16,Tp17,Gqp17,Hp17,Pph17,Thu17,Ohu17,Vhu17,Vr17,Tp18,Gqp18,Hp18,Pph18,Thu18,Ohu18,Vhu18,Vr18,Tp19,Gqp19,Hp19,Pph19,Thu19,Ohu19,Vhu19,Vr19
1,99990,88655,308,88347,2.98964502,31262,29551,1711,5.47309833,90079,308,89771,2.989576395,31319,30028,1291,4.122098407,91591,308,91283,2.989650542,31363,30533,830,2.646430507,92770,308,92462,2.989588722,31442,30928,514,1.634756059,94794,308,94486,2.989590255,31672,31605,67,0.211543319,96630,308,96322,3.018646777,31909,31909,0,0,98271,308,97963,3.039120184,32234,32234,0,0,,,,,,,,,,,,,,,,,,,,,,,,
101,0,159496,4321,155175,2.457322481,69614,63148,6466,9.288361536,160157,4327,155830,2.457498817,69872,63410,6462,9.248339821,160759,4505,156254,2.457596729,69986,63580,6406,9.153259223,161085,4470,156615,2.457553979,70247,63728,6519,9.280111606,161618,4422,157196,2.457723577,70406,63960,6446,9.155469704,163196,4407,158789,2.457615576,70509,64611,5898,8.364889589,165109,4406,160703,2.457345138,70701,65397,5304,7.50201553,,8,,,,,,,,8,,,,,,,,8,,,,,,
101,7795,340,8,332,2.388489209,182,139,43,23.62637363,342,8,334,2.385714286,183,140,43,23.49726776,342,8,334,2.385714286,183,140,43,23.49726776,344,8,336,2.382978723,184,141,43,23.36956522,344,8,336,2.382978723,184,141,43,23.36956522,347,8,339,2.387323944,184,142,42,22.82608696,351,8,343,2.381944444,185,144,41,22.16216216,,8,,,,,,,,8,,,,,,,,8,,,,,,
101,62000,106881,4045,102836,2.368892677,47653,43411,4242,8.901852979,107225,4051,103174,2.36892981,47788,43553,4235,8.86205742,107628,4229,103399,2.368928702,47842,43648,4194,8.766355922,107848,4194,103654,2.368909407,48028,43756,4272,8.89481136,108097,4146,103951,2.368929605,48099,43881,4218,8.769413086,109214,4131,105083,2.368921752,48203,44359,3844,7.97460739,110621,4130,106491,2.368888197,48394,44954,3440,7.108319213,,,,,,,,,,,,,,,,,,,,,,,,
101,66895,153,0,153,2.154929577,115,71,44,38.26086957,153,0,153,2.154929577,115,71,44,38.26086957,153,0,153,2.154929577,115,71,44,38.26086957,153,0,153,2.154929577,115,71,44,38.26086957,153,0,153,2.154929577,115,71,44,38.26086957,155,0,155,2.152777778,115,72,43,37.39130435,156,0,156,2.166666667,115,72,43,37.39130435,,0,,,,,,,,0,,,,,,,,0,,,,,,
101,99990,52122,268,51854,2.655502637,21664,19527,2137,9.86429099,52437,268,52169,2.655451491,21786,19646,2140,9.822821996,52636,268,52368,2.655443436,21846,19721,2125,9.727181177,52740,268,52472,2.655465587,21920,19760,2160,9.854014599,53024,268,52756,2.655458801,22008,19867,2141,9.728280625,53480,268,53212,2.655554447,22007,20038,1969,8.947153179,53981,268,53713,2.655509962,22007,20227,1780,8.08833553,,,,,,,,,,,,,,,,,,,,,,,,
103,0,6617,235,6382,2.430312262,3315,2626,689,20.78431373,6696,145,6551,2.42899518,3323,2697,626,18.83839904,6774,271,6503,2.429211804,3330,2677,653,19.60960961,6722,277,6445,2.430241327,3340,2652,688,20.5988024,6626,259,6367,2.430152672,3351,2620,731,21.81438377,6529,259,6270,2.430232558,3356,2580,776,23.1227652,6497,259,6238,2.429127726,3414,2568,846,24.78031634,,48,,,,,,,,48,,,,,,,,48,,,,,,
103,62880,2349,187,2162,2.462414579,1015,878,137,13.49753695,2328,97,2231,2.459757442,1023,907,116,11.33919844,2450,223,2227,2.460773481,1031,905,126,12.22114452,2446,229,2217,2.460599334,1039,901,138,13.28200192,2398,211,2187,2.460067492,1041,889,152,14.60134486,2370,211,2159,2.461801596,1045,877,168,16.07655502,2329,211,2118,2.459930314,1046,861,185,17.68642447,,,,,,,,,,,,,,,,,,,,,,,,
103,49875,2452,43,2409,2.401794616,1219,1003,216,17.71944217,2509,43,2466,2.401168452,1219,1027,192,15.75061526,2486,43,2443,2.399803536,1219,1018,201,16.48892535,2454,43,2411,2.401394422,1218,1004,214,17.56978654,2418,43,2375,2.401415571,1218,989,229,18.80131363,2378,43,2335,2.39979445,1218,973,245,20.11494253,2333,43,2290,2.400419287,1219,954,265,21.73913043,,43,,,,,,,,43,,,,,,,,43,,,,,,
103,99990,1816,5,1811,2.430872483,1081,745,336,31.08233117,1859,5,1854,2.429882045,1081,763,318,29.41720629,1838,5,1833,2.431034483,1080,754,326,30.18518519,1822,5,1817,2.432396252,1083,747,336,31.02493075,1810,5,1805,2.432614555,1092,742,350,32.05128205,1781,5,1776,2.432876712,1093,730,363,33.21134492,1835,5,1830,2.430278884,1149,753,396,34.46475196,,5,,,,,,,,5,,,,,,,,5,,,,,,
105,0,12001,198,11803,2.465636098,6633,4787,1846,27.83054425,11905,198,11707,2.466189172,6651,4747,1904,28.62727409,11865,198,11667,2.465553677,6663,4732,1931,28.98093952,11696,198,11498,2.465794553,6675,4663,2012,30.1423221,11542,198,11344,2.466086957,6686,4600,2086,31.19952139,11413,198,11215,2.465919085,6698,4548,2150,32.09913407,11424,198,11226,2.466168717,6712,4552,2160,32.18116806,,198,,,,,,,,198,,,,,,,,198,,,,,,
105,72395,386,6,380,2.146892655,596,177,419,70.30201342,383,6,377,2.142045455,598,176,422,70.56856187,382,6,376,2.148571429,599,175,424,70.78464107,377,6,371,2.144508671,600,173,427,71.16666667,372,6,366,2.152941176,601,170,431,71.71381032,368,6,362,2.142011834,602,169,433,71.9269103,367,6,361,2.148809524,603,168,435,72.13930348,,6,,,,,,,,6,,,,,,,,6,,,,,,
105,12855,218,0,218,2.477272727,96,88,8,8.333333333,216,0,216,2.482758621,96,87,9,9.375,215,0,215,2.471264368,96,87,9,9.375,211,0,211,2.482352941,96,85,11,11.45833333,208,0,208,2.476190476,96,84,12,12.5,205,0,205,2.469879518,96,83,13,13.54166667,205,0,205,2.469879518,96,83,13,13.54166667,,0,,,,,,,,0,,,,,,,,0,,,,,,
105,19795,1688,41,1647,2.411420205,851,683,168,19.74148061,1670,41,1629,2.413333333,851,675,176,20.68155112,1662,41,1621,2.412202381,851,672,179,21.03407756,1635,41,1594,2.411497731,851,661,190,22.3266745,1611,41,1570,2.411674347,851,651,200,23.50176263,1593,41,1552,2.413685848,852,643,209,24.53051643,1595,41,1554,2.413043478,854,644,210,24.59016393,,41,,,,,,,,41,,,,,,,,41,,,,,,
105,51635,4451,54,4397,2.474395048,1961,1777,184,9.382967874,4418,54,4364,2.475326149,1967,1763,204,10.37112354,4404,54,4350,2.47440273,1971,1758,213,10.80669711,4342,54,4288,2.474321985,1975,1733,242,12.25316456,4286,54,4232,2.474853801,1979,1710,269,13.5927236,4239,54,4185,2.474866943,1983,1691,292,14.72516389,4242,54,4188,2.475177305,1987,1692,295,14.84650226,,54,,,,,,,,54,,,,,,,,54,,,,,,
